id,email,name,password,role
550e8400-e29b-41d4-a716-446655440000,admin@company.com,John Admin,hashed_password_1,admin
550e8400-e29b-41d4-a716-446655440001,manager1@company.com,Sarah Manager,$2b$10$hash1,manager
550e8400-e29b-41d4-a716-446655440002,operator1@company.com,Mike Operator,$2b$10$hash2,operator
550e8400-e29b-41d4-a716-446655440003,analyst@company.com,Lisa Analyst,$2b$10$hash3,analyst
550e8400-e29b-41d4-a716-446655440004,tech@company.com,David Tech,$2b$10$hash4,technician
550e8400-e29b-41d4-a716-446655440005,supervisor@company.com,Emma Supervisor,$2b$10$hash5,supervisor
550e8400-e29b-41d4-a716-446655440006,field1@company.com,Tom Field,$2b$10$hash6,field_worker
550e8400-e29b-41d4-a716-446655440007,field2@company.com,Anna Field,$2b$10$hash7,field_worker
550e8400-e29b-41d4-a716-446655440008,guest@company.com,Guest User,$2b$10$hash8,guest
550e8400-e29b-41d4-a716-446655440009,viewer@company.com,View Only,$2b$10$hash9,viewer
550e8400-e29b-41d4-a716-44665544000a,maintenance@company.com,Bob Maintenance,$2b$10$hash10,maintenance
550e8400-e29b-41d4-a716-44665544000b,quality@company.com,Jane Quality,$2b$10$hash11,quality_control
